order_id,customer_id,product_id,order_date,quantity,amount,rating,status
O0195,C048,P014,2026-03-05,1,55,,Cancelled
O0196,C005,P016,2026-04-24,4,0,4,Delivered
O0197,C038,P004,2026-05-17,4,280,5,Delivered
O0198,C040,P002,2026-06-08,3,165,5,Delivered
O0199,C002,P002,2026-01-21,4,220,,Pending
O0200,C026,P014,2026-02-28,1,55,,Cancelled
O0201,C046,P030,2026-03-16,4,480,,Pending
O0202,C006,P011,2026-04-03,2,,3,Delivered
O0203,C018,P020,2026-05-05,3,255,5,Delivered
O0204,C034,P010,2026-06-20,4,360,5,Delivered
O0205,C028,P004,2026-01-20,1,70,,Cancelled
O0206,C042,P021,2026-02-28,2,230,5,Delivered
O0207,C015,P014,2026-03-15,3,165,5,Delivered
O0208,C027,P024,2026-04-13,1,125,4,Delivered
O0209,C021,P022,2026-05-14,3,780,4,Delivered
O0210,C044,P030,2026-06-05,4,480,3,Delivered
O0211,C006,P003,2026-01-03,4,180,3,Delivered
O0212,C048,P012,2026-02-24,2,60,,Pending
O0213,C004,P019,2026-03-18,3,315,3,Delivered
O0214,C023,P028,2026-04-14,4,360,3,Delivered
O0215,C039,P010,2026-05-10,3,270,3,Delivered
O0216,C033,P007,2026-06-19,2,90,5,Delivered
O0217,C007,P012,2026-01-08,3,90,3,Delivered
O0218,C018,P019,2026-02-25,2,210,5,Delivered
O0219,C036,P025,2026-03-28,1,90,5,Delivered
O0220,C045,P009,2026-04-22,1,60,,Cancelled
O0221,C018,P023,2026-05-06,3,450,4,Delivered
O0222,C001,P006,2026-06-12,2,124,5,Delivered
O0223,C026,P003,2026-01-22,2,90,,Pending
O0224,C041,P001,2026-02-24,1,120,5,Delivered
O0225,C025,P014,2026-03-07,4,220,4,Delivered
O0226,C024,P010,2026-04-06,3,270,5,Delivered
O0227,C006,P029,2026-05-20,1,250,4,Delivered
O0228,C049,P020,2026-06-06,1,85,3,Delivered
O0229,C029,P022,2026-01-09,4,1040,5,Delivered
O0230,C029,P014,2026-02-20,3,165,4,Delivered
O0231,C033,P004,2026-03-25,3,210,,Pending
O0232,C008,P010,2026-04-14,4,360,5,Delivered
O0233,C020,P002,2026-05-22,2,110,5,Delivered
O0234,C004,P001,2026-06-20,2,240,4,Delivered
O0235,C050,P005,2026-01-07,3,180,4,Delivered
O0236,C008,P001,2026-02-11,4,480,5,Delivered
O0237,C009,P013,2026-03-06,2,220,5,Delivered
O0238,C043,P026,2026-04-18,3,135,3,Delivered
O0239,C048,P002,2026-05-13,4,220,3,Delivered
O0240,C005,P028,2026-06-15,3,270,,Cancelled
O0241,C028,P019,2026-01-19,4,420,5,Delivered
O0242,C008,P013,2026-02-10,1,110,4,Delivered
O0243,C040,P015,2026-03-06,3,420,,Cancelled
O0244,C028,P028,2026-04-03,1,90,4,Delivered
O0245,C038,P013,2026-05-14,1,,5,Delivered
O0246,C020,P024,2026-06-28,3,375,4,Delivered
O0247,C050,P006,2026-01-11,1,62,5,Delivered
O0248,C008,P017,2026-02-21,2,440,,Cancelled
O0249,C023,P012,2026-03-25,2,60,4,Delivered
O0250,C010,P009,2026-04-04,2,120,4,Delivered
O0251,C010,P025,2026-05-20,1,90,4,Delivered
O0252,C041,P016,2026-06-25,4,0,5,Delivered
O0253,C038,P015,2026-01-25,3,420,4,Delivered
O0254,C029,P003,2026-02-05,4,180,5,Delivered
O0255,C020,P026,2026-03-21,3,135,,Pending
O0256,C004,P012,2026-04-19,1,30,,Cancelled
O0257,C030,P015,2026-05-10,1,140,3,Delivered
O0258,C019,P003,2026-06-12,1,45,5,Delivered
O0259,C033,P013,2026-01-20,4,440,5,Delivered
O0260,C048,P029,2026-02-18,1,250,5,Delivered
O0261,C037,P021,2026-03-26,2,230,4,Delivered
O0262,C031,P017,2026-04-20,2,440,3,Delivered
O0263,C007,P026,2026-05-15,3,135,,Cancelled
O0264,C006,P017,2026-06-23,2,440,3,Delivered
O0265,C046,P015,2026-01-08,4,560,5,Delivered
O0266,C040,P006,2026-02-17,3,186,4,Delivered
O0267,C025,P014,2026-03-10,3,165,5,Delivered
O0268,C041,P021,2026-04-02,3,345,3,Delivered
O0269,C007,P018,2026-05-11,4,520,4,Delivered
O0270,C047,P028,2026-06-09,2,180,4,Delivered
O0271,C038,P022,2026-01-03,2,520,4,Delivered
O0272,C042,P023,2026-02-10,4,600,4,Delivered
O0273,C046,P003,2026-03-20,3,135,5,Delivered
O0274,C042,P026,2026-04-13,3,135,,Cancelled
O0275,C009,P022,2026-05-27,1,260,5,Delivered
O0276,C024,P001,2026-06-17,3,360,,Pending
O0277,C012,P007,2026-01-10,3,135,5,Delivered
O0278,C015,P005,2026-02-07,2,,3,Delivered
O0279,C007,P017,2026-03-10,1,220,4,Delivered
O0280,C040,P005,2026-04-25,4,240,4,Delivered
O0281,C012,P027,2026-05-06,2,110,5,Delivered
O0282,C027,P012,2026-06-02,2,60,5,Delivered
O0283,C019,P025,2026-01-20,4,360,4,Delivered
O0284,C016,P010,2026-02-18,4,360,4,Delivered
O0285,C044,P019,2026-03-12,4,420,5,Delivered
O0286,C019,P025,2026-04-25,4,360,5,Delivered
O0287,C027,P006,2026-05-17,2,124,,Cancelled
O0288,C039,P005,2026-06-26,3,180,3,Delivered
O0289,C031,P028,2026-01-21,3,270,5,Delivered
O0290,C046,P028,2026-02-04,1,90,,Cancelled
O0291,C006,P025,2026-03-10,2,180,4,Delivered
O0292,C033,P005,2026-04-15,4,240,3,Delivered
O0293,C029,P029,2026-05-08,3,750,3,Delivered
O0294,C004,P013,2026-06-14,3,330,4,Delivered
O0295,C006,P012,2026-01-13,2,60,3,Delivered
O0296,C007,P027,2026-02-11,3,165,,Cancelled
O0297,C010,P005,2026-03-26,1,60,4,Delivered
O0298,C031,P023,2026-04-27,2,300,5,Delivered
O0299,C040,P001,2026-05-15,1,120,3,Delivered
O0300,C014,P027,2026-06-09,2,110,5,Delivered
O0301,C039,P017,2026-01-24,4,880,3,Delivered
O0302,C019,P008,2026-02-25,3,,3,Delivered
O0303,C016,P014,2026-03-02,4,220,3,Delivered
O0304,C032,P020,2026-04-04,1,85,5,Delivered
O0305,C016,P023,2026-05-19,2,300,4,Delivered
O0306,C001,P020,2026-06-14,3,255,4,Delivered
O0307,C027,P006,2026-01-19,1,62,5,Delivered
O0308,C005,P017,2026-02-12,1,220,5,Delivered
O0309,C031,P002,2026-03-28,4,220,4,Delivered
O0310,C048,P001,2026-04-09,3,360,3,Delivered
O0311,C016,P024,2026-05-12,1,125,,Cancelled
O0312,C038,P024,2026-06-25,3,375,4,Delivered
O0313,C023,P018,2026-01-02,3,390,4,Delivered
O0314,C050,P022,2026-02-27,4,1040,5,Delivered
O0315,C012,P026,2026-03-21,2,90,,Pending
O0316,C046,P025,2026-04-03,4,360,3,Delivered
O0317,C013,P002,2026-05-10,2,110,3,Delivered
O0318,C020,P017,2026-06-11,4,880,5,Delivered
O0319,C017,P002,2026-01-16,2,110,4,Delivered
O0320,C050,P002,2026-02-12,3,165,4,Delivered
O0321,C024,P014,2026-03-04,4,220,5,Delivered
O0322,C022,P006,2026-04-13,4,248,5,Delivered
O0323,C034,P009,2026-05-12,1,60,5,Delivered
O0324,C028,P020,2026-06-03,2,170,5,Delivered
O0325,C021,P004,2026-01-10,1,70,4,Delivered
O0326,C019,P010,2026-02-22,4,360,,Cancelled
O0327,C046,P014,2026-03-20,2,,5,Delivered
O0328,C029,P002,2026-04-12,3,165,5,Delivered
O0329,C018,P021,2026-05-14,1,115,,Cancelled
O0330,C043,P021,2026-06-03,4,460,4,Delivered
O0331,C048,P022,2026-01-17,2,520,3,Delivered
O0332,C039,P022,2026-02-05,4,1040,3,Delivered
O0333,C005,P008,2026-03-05,3,285,4,Delivered
O0334,C037,P002,2026-04-13,2,110,5,Delivered
O0335,C024,P015,2026-05-12,1,140,5,Delivered
O0336,C034,P012,2026-06-05,4,120,4,Delivered
O0337,C018,P008,2026-01-21,1,95,3,Delivered
O0338,C012,P016,2026-02-24,4,0,5,Delivered
O0339,C017,P025,2026-03-04,3,270,5,Delivered
O0340,C040,P010,2026-04-07,4,360,4,Delivered
O0341,C009,P028,2026-05-04,1,90,5,Delivered
O0342,C046,P015,2026-06-06,1,140,4,Delivered
O0343,C023,P023,2026-01-22,1,150,5,Delivered
O0344,C019,P029,2026-02-18,3,750,4,Delivered
O0345,C046,P030,2026-03-23,2,240,4,Delivered
O0346,C015,P004,2026-04-17,2,140,4,Delivered
O0347,C032,P001,2026-05-08,3,360,5,Delivered
O0348,C024,P015,2026-06-19,2,280,,Cancelled
O0349,C006,P003,2026-01-20,3,135,5,Delivered
O0350,C047,P016,2026-02-23,4,,,Cancelled
O0351,C027,P027,2026-03-25,1,55,4,Delivered
O0352,C042,P003,2026-04-11,4,180,5,Delivered
O0353,C034,P012,2026-05-22,2,60,5,Delivered
O0354,C038,P006,2026-06-21,2,124,5,Delivered
O0355,C004,P027,2026-01-17,1,55,5,Delivered
O0356,C020,P006,2026-02-05,2,124,4,Delivered
O0357,C015,P012,2026-03-23,3,90,3,Delivered
O0358,C013,P021,2026-04-09,3,345,4,Delivered
O0359,C020,P020,2026-05-21,1,85,,Cancelled
O0360,C042,P006,2026-06-17,2,124,4,Delivered
O0361,C040,P024,2026-01-22,3,375,5,Delivered
O0362,C002,P003,2026-02-02,1,45,,Pending
O0363,C050,P019,2026-03-21,3,315,4,Delivered
O0364,C037,P014,2026-04-25,1,55,5,Delivered
O0365,C035,P010,2026-05-21,3,270,5,Delivered
O0366,C044,P013,2026-06-08,3,330,,Cancelled
O0367,C005,P023,2026-01-15,1,150,,Pending
O0368,C029,P014,2026-02-06,4,220,,Cancelled
O0369,C014,P011,2026-03-15,2,70,4,Delivered
O0370,C046,P011,2026-04-28,3,105,5,Delivered
O0371,C049,P012,2026-05-05,1,30,4,Delivered
O0372,C030,P004,2026-06-08,3,210,5,Delivered
O0373,C010,P004,2026-01-08,1,,4,Delivered
O0374,C040,P014,2026-02-13,2,110,4,Delivered
O0375,C021,P030,2026-03-27,3,360,4,Delivered
O0376,C011,P016,2026-04-25,4,0,5,Delivered
O0377,C032,P001,2026-05-10,1,120,5,Delivered
O0378,C030,P008,2026-06-17,2,190,5,Delivered
O0379,C004,P002,2026-01-12,3,165,5,Delivered
O0380,C042,P022,2026-02-20,4,1040,4,Delivered
O0381,C001,P028,2026-03-18,1,90,5,Delivered
O0382,C017,P024,2026-04-05,3,375,5,Delivered
O0383,C003,P013,2026-05-12,1,110,5,Delivered
O0384,C013,P012,2026-06-18,3,90,3,Delivered
O0385,C033,P015,2026-01-13,3,420,,Pending
O0386,C040,P022,2026-02-27,1,260,4,Delivered
O0387,C026,P012,2026-03-04,3,90,5,Delivered
O0388,C049,P005,2026-04-12,2,120,5,Delivered
O0389,C026,P017,2026-05-17,1,220,3,Delivered
O0390,C009,P023,2026-06-02,3,450,5,Delivered
O0391,C030,P005,2026-01-17,2,120,4,Delivered
O0392,C021,P006,2026-02-20,4,248,5,Delivered
O0393,C020,P019,2026-03-24,3,315,5,Delivered
O0394,C033,P018,2026-04-27,4,520,5,Delivered
O0395,C031,P027,2026-05-10,1,55,,Cancelled
O0396,C022,P022,2026-06-12,1,260,5,Delivered
O0397,C020,P026,2026-01-19,1,45,5,Delivered
O0398,C017,P021,2026-02-16,2,230,3,Delivered
O0399,C031,P006,2026-03-19,4,248,4,Delivered
O0400,C044,P008,2026-04-27,1,95,5,Delivered
O0401,C008,P007,2026-05-23,1,45,5,Delivered
O0402,C027,P005,2026-06-11,4,,4,Delivered
O0403,C033,P025,2026-01-14,4,360,3,Delivered
O0404,C009,P017,2026-02-23,2,440,5,Delivered
O0405,C043,P016,2026-03-11,4,0,4,Delivered
O0406,C030,P030,2026-04-06,3,360,5,Delivered
O0407,C044,P025,2026-05-12,3,270,,Pending
O0408,C031,P007,2026-06-20,2,90,4,Delivered
O0409,C020,P008,2026-01-18,3,285,4,Delivered
O0410,C014,P023,2026-02-23,4,600,4,Delivered
O0411,C023,P018,2026-03-16,3,390,4,Delivered
O0412,C037,P022,2026-04-04,4,1040,5,Delivered
O0413,C023,P025,2026-05-27,2,180,4,Delivered
O0414,C019,P023,2026-06-02,1,150,4,Delivered
O0415,C042,P009,2026-01-15,4,240,4,Delivered
O0416,C035,P009,2026-02-07,3,180,4,Delivered
O0417,C040,P024,2026-03-04,2,250,4,Delivered
O0418,C043,P029,2026-04-02,2,500,4,Delivered
O0419,C007,P014,2026-05-02,3,165,5,Delivered
O0420,C044,P025,2026-06-04,2,180,3,Delivered
O0421,C011,P014,2026-01-18,4,220,5,Delivered
O0422,C013,P025,2026-02-21,3,270,4,Delivered
O0423,C042,P002,2026-03-10,1,55,5,Delivered
O0424,C035,P024,2026-04-08,1,125,4,Delivered
O0425,C012,P030,2026-05-14,1,120,5,Delivered
O0426,C032,P006,2026-06-26,3,186,3,Delivered
O0427,C020,P019,2026-01-01,1,105,4,Delivered
O0428,C030,P021,2026-02-10,4,460,4,Delivered
O0429,C033,P015,2026-03-28,3,420,4,Delivered
O0430,C008,P011,2026-04-26,2,,5,Delivered
O0431,C017,P023,2026-05-21,2,300,3,Delivered
O0432,C022,P026,2026-06-24,3,135,5,Delivered
O0433,C049,P007,2026-01-22,2,90,5,Delivered
O0434,C041,P029,2026-02-28,4,1000,5,Delivered
O0435,C021,P003,2026-03-17,4,180,3,Delivered
O0436,C009,P016,2026-04-06,3,0,4,Delivered
O0437,C017,P013,2026-05-01,2,220,,Cancelled
O0438,C049,P009,2026-06-15,3,180,4,Delivered
O0439,C047,P019,2026-01-19,1,105,,Cancelled
O0440,C042,P012,2026-02-09,2,60,3,Delivered
O0441,C008,P015,2026-03-22,3,420,,Pending
O0442,C026,P022,2026-04-06,3,780,3,Delivered
O0443,C019,P012,2026-05-21,2,60,4,Delivered
O0444,C031,P005,2026-06-05,4,240,,Cancelled
O0445,C039,P012,2026-01-24,4,120,5,Delivered
O0446,C049,P018,2026-02-16,2,260,4,Delivered
O0447,C049,P020,2026-03-22,1,85,5,Delivered
O0448,C034,P023,2026-04-15,3,450,3,Delivered
O0449,C008,P002,2026-05-19,2,110,5,Delivered
O0450,C010,P006,2026-06-18,3,186,5,Delivered
O0451,C008,P022,2026-01-15,2,520,5,Delivered
O0452,C006,P029,2026-02-16,4,1000,3,Delivered
O0453,C009,P017,2026-03-15,4,880,5,Delivered
O0454,C004,P018,2026-04-19,4,520,4,Delivered
O0455,C002,P013,2026-05-24,3,330,3,Delivered
O0456,C014,P019,2026-06-24,1,105,3,Delivered
O0457,C023,P023,2026-01-14,1,150,5,Delivered
O0458,C005,P030,2026-02-02,4,480,3,Delivered
O0459,C027,P006,2026-03-10,2,124,5,Delivered
O0460,C025,P015,2026-04-12,4,560,5,Delivered
O0461,C044,P022,2026-05-03,2,520,,Pending
O0462,C023,P004,2026-06-21,2,,5,Delivered
O0463,C034,P005,2026-01-13,2,120,,Cancelled
O0464,C001,P025,2026-02-27,1,90,4,Delivered
O0465,C044,P024,2026-03-15,4,500,,Cancelled
O0466,C025,P027,2026-04-18,2,110,,Pending
O0467,C030,P012,2026-05-08,2,60,4,Delivered
O0468,C047,P025,2026-06-07,1,90,3,Delivered
O0469,C043,P014,2026-01-26,1,55,4,Delivered
O0470,C005,P004,2026-02-07,1,70,5,Delivered
O0471,C044,P023,2026-03-20,1,150,4,Delivered
O0472,C003,P013,2026-04-24,4,440,4,Delivered
O0473,C014,P025,2026-05-18,1,90,4,Delivered
O0474,C019,P008,2026-06-17,3,285,5,Delivered
O0475,C050,P022,2026-01-20,3,780,4,Delivered
O0476,C010,P022,2026-02-10,2,520,5,Delivered
O0477,C018,P002,2026-03-10,2,110,,Cancelled
O0478,C044,P014,2026-04-21,4,220,,Cancelled
O0479,C023,P021,2026-05-02,4,460,5,Delivered
O0480,C045,P014,2026-06-11,4,220,4,Delivered
O0481,C025,P006,2026-01-10,4,248,4,Delivered
O0482,C015,P010,2026-02-28,2,180,5,Delivered
O0483,C036,P014,2026-03-02,4,220,5,Delivered
O0484,C009,P013,2026-04-17,2,220,4,Delivered
O0485,C022,P021,2026-05-07,1,115,5,Delivered
O0486,C024,P003,2026-06-28,2,90,,Cancelled
O0487,C018,P013,2026-01-02,1,110,3,Delivered
O0488,C049,P019,2026-02-07,2,210,5,Delivered
O0489,C022,P010,2026-03-07,1,90,4,Delivered
O0490,C048,P004,2026-04-07,4,,4,Delivered
O0491,C039,P023,2026-05-23,2,300,5,Delivered
O0492,C036,P011,2026-06-08,3,105,5,Delivered
O0493,C035,P021,2026-01-15,3,345,4,Delivered
O0494,C024,P017,2026-02-09,4,880,5,Delivered
O0495,C047,P016,2026-03-04,3,0,4,Delivered
O0496,C021,P014,2026-04-12,1,55,5,Delivered
O0497,C015,P024,2026-05-28,2,250,3,Delivered
O0498,C036,P030,2026-06-09,4,480,4,Delivered
O0499,C013,P011,2026-01-05,2,70,5,Delivered
